case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5,r29_postpass_gate,r29_postpass_status,r29_postpass,r29_postpass_accepted,r29_postpass_reject_reason,r29_postpass_opt_returncode,r29_postpass_cec_pass,r29_postpass_opt_error,r29_node_delta_vs_v6,r29_level_delta_vs_v6
tc_public_1,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_1\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_1\work\v6\work\v5\work\variants\both\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_1\work\v6\work\v5\work\variants\both\baseline.blif,85,8,146,9,85,8,207,13,0,0,True,3.67022,0.794495,0.394009,14.676,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_1\work\v6\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_10,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_10\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_medium_po,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_10\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_10\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_10\work\v6\work\v5\work\variants\clean\baseline.blif,101,4,161,4,101,4,192,5,0,0,True,1.613138,0.373555,0.381242,12.332,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_10\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_11,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_11\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_11\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_11\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_11\work\v6\work\v5\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.679952,0.694351,0.494638,10.293,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_11\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,rejected,r29_mfs_strash_dc2_rwz_bal,,no_node_gain,0,True,False,0,0
tc_public_12,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_12\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean+r29_mfs_strash_dc2_rwz_bal,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_12\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_12\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_12\work\v6\work\v5\work\variants\clean\baseline.blif,1370,14,1407,13,1367,14,1482,15,0,0,True,1.286208,0.698144,0.506041,9.688,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_12\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-3,0
tc_public_13,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_13\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_13\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_13\work\v6\work\v5\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.66654,2.381605,0.588303,13.961,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_13\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,rejected,r28_r27_mfs_fraig_dc2_bal,,no_node_gain,0,True,False,0,0,r7b_high_overlap_guarded_fraig,rejected,r29_mfs_strash_dc2_rwz_bal,,no_node_gain,0,True,False,0,0
tc_public_14,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal+r29_mfs_strash_dc2_rwz_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_14\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_14\work\v6\work\v5\work\variants\outputs\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_14\work\v6\work\v5\work\variants\outputs\baseline.blif,2156,16,4478,26,2044,14,6388,29,0,0,True,5.377713,1.361027,0.637431,47.184,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_14\work\logs,outputs,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-83,-1,r7b_high_overlap_guarded_fraig,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-29,-1
tc_public_15,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal+r29_mfs_strash_dc2_rwz_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_15\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_15\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_15\work\v6\work\v5\work\variants\clean\baseline.blif,922,11,928,10,904,11,931,12,0,0,True,1.963364,0.902722,0.574317,10.207,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-9,0,r7b_high_overlap_guarded_fraig,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-9,0
tc_public_16,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_16\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_16\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_16\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_16\work\v6\work\v5\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.394311,0.369587,0.39524,7.238,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_16\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_17,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_17\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_17\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_17\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_17\work\v6\work\v5\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.396612,0.383714,0.371383,7.266,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_17\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_18,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_18\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@both+r29_mfs_strash_dc2_rwz_bal,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_18\output.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_18\work\v6\work\v5\work\variants\both\output.candidate.blif,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_18\work\v6\work\v5\work\variants\both\baseline.blif,486,12,522,12,483,12,525,12,0,0,True,1.134691,1.35843,0.494992,12.34,results_candidate\r29_postpass_entry_full_public_candidate_config\tc_public_18\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-3,0
