phase,usage_note,family,pipeline_id,pipeline_hash,candidate_kind,selector_eligible,offline_only,raw_steps,normalized_steps,timeout_profile,allowed_case_scales,case,selection_order,selection_reason,selector_bucket,scale_grade,final_nodes,final_levels,final_total_time_sec,final_peak_rss_mb,raw_nodes,raw_levels,raw_cec_status,raw_status,selected_nodes,selected_levels,selected_status,fallback_used,fallback_reason,metric_regression,metric_regression_reasons,raw_node_delta_vs_final,raw_level_delta_vs_final,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,total_runtime_sec,peak_rss_mb,runtime_ratio_vs_final,rss_ratio_vs_final,opt_returncode,cec_returncode,output_path,candidate_path,log_dir,cache_key
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_30,1,largest node gain vs baseline,large|near_aig|not_sop|po_small,large,6613,21,2.162263,31.3046875,9418,22,passed,metric_regression,6613,21,fallback_current_final,true,metric_regression: nodes_worse:2805,true,nodes_worse:2805,2805,1,0.402799,1.290774,0.083345,1.776918,29.758,0.821786,0.950586,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_30\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_30\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_30\logs,57043c4ffb3aa90a8ac08a69aa1e8771cf7171b3a8d77b07546546ffa047e7c9
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_14,2,max-level pressure case; large near-two-input AIG with medium output bin,large|near_aig|not_sop|po_medium,large,3703,25,0.586281,19.07421875,4474,26,passed,metric_regression,3703,25,fallback_current_final,true,metric_regression: nodes_worse:771,true,nodes_worse:771,771,1,0.210687,0.156561,0.060433,0.427681,19.523,0.729481,1.023551,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_14\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_14\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_14\logs,d370dfe0895db4e2fb5409d9f6f64acab62d3dc0cf0f6be45c9c7fd4a63d32da
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_22,3,large near-two-input AIG with small output bin,large|near_aig|not_sop|po_small,large,11067,20,3.665116,30.44140625,11265,20,passed,ok,11265,20,selected_raw,false,,false,,198,0,0.545548,0.752563,0.091830,1.389941,29.816,0.379235,0.979469,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_22\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_22\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_22\logs,9f023ba9b2a5b1a8712783fc3c54a6031e0c6e4d6114fd05aa39b5a2b5243833
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_12,4,medium non-AIG selector rewrite bucket,medium|non_aig|not_sop|po_large,medium,1385,13,0.346738,13.5625,1407,13,passed,ok,1407,13,selected_raw,false,,false,,22,0,0.121071,0.099267,0.069885,0.290223,11.117,0.837011,0.819700,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_12\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_12\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_12\logs,055d85dc3207c13becd4b59d42778c8353112008c8769a05904e77cccc9cc823
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_23,5,medium near-two-input AIG bucket,medium|near_aig|not_sop|po_tiny,medium,1530,16,0.312543,12.61328125,1530,16,passed,ok,1530,16,selected_raw,false,,false,,0,0,0.111519,0.091402,0.062088,0.265009,10.609,0.847912,0.841127,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_23\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_23\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_23\logs,d3daad3de197b0582469eef83873c4f3ad2885c0c017bca4e0188914498beb6b
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_9,6,tiny high-fanin SOP bucket,tiny|non_aig|high_sop|po_medium,tiny,224,5,0.284901,10.55859375,224,5,passed,ok,224,5,selected_raw,false,,false,,0,0,0.086129,0.083549,0.061912,0.231590,10.547,0.812878,0.998890,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_9\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_9\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_9\logs,8024c5e48febe8b3c2b76718e39cab7429f5cdc04d0a4d51bf7e42c895418393
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_7,7,small high-fanin SOP bucket,small|non_aig|high_sop|po_medium,small,252,3,0.270967,10.65234375,252,3,passed,ok,252,3,selected_raw,false,,false,,0,0,0.095259,0.082064,0.062678,0.240001,10.133,0.885722,0.951228,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_7\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_7\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_7\logs,3264c7a5420e556fedfd665e1a1e47c4d1093b5ff677dee9ac6f18bd168d4988
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_15,8,small near-two-input AIG bucket,small|near_aig|not_sop|po_medium,small,927,11,0.323562,10.890625,928,10,passed,ok,928,10,selected_raw,false,,false,,1,-1,0.101729,0.086776,0.060560,0.249065,9.551,0.769759,0.876973,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_15\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_15\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_15\logs,c75c6ab744c97a80070569da3cb6e6bd4735999d27900e2dd63072a0b0d49d80
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_28,9,zero-gain guard bucket,small|near_aig|not_sop|po_small,small,520,7,0.260640,10.2890625,520,7,passed,ok,520,7,selected_raw,false,,false,,0,0,0.097363,0.089935,0.064089,0.251387,9.859,0.964497,0.958238,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_28\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_28\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_28\logs,8b31a5a71f658c78e75725d7316985d4960ef36cdf8891930cfa62caba18b81f
smoke,SMOKE_ONLY_FILTER_NOT_FINAL_CONCLUSION,aig_resyn_family,aig_resyn_baseline,2e5593784e12,pipeline,true,false,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance,default,tiny|small|medium|large,tc_public_16,10,tiny non-SOP non-AIG guard bucket,tiny|non_aig|not_sop|po_tiny,tiny,45,6,0.251822,9.9296875,45,6,passed,ok,45,6,selected_raw,false,,false,,0,0,0.111031,0.077667,0.079138,0.267836,8.703,1.063595,0.876475,0,0,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_16\selected.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_16\raw.candidate.blif,results\pipeline_search2\smoke\aig_resyn_baseline\tc_public_16\logs,ffd6cc94a53740f5e71f166f427e4536b639594c26e47b5b34c94fcc70ab4134
