stress_kind,stress_case,original_case,clean_nodes,stress_nodes,node_delta,clean_levels,stress_levels,level_delta,clean_variant,stress_variant,variant_match,clean_pipeline,stress_pipeline,pipeline_match,stress_cec_pass,stress_status,stress_fallback_reason,stress_inner_fallback_count,stress_original_cec_fail_count
anon,anon_001,tc_public_1,103,103,0,10,10,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
anon,anon_010,tc_public_10,161,161,0,4,4,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_011,tc_public_11,328,328,0,7,7,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_012,tc_public_12,1385,1385,0,13,13,0,clean,clean,True,rewrite2@clean,rewrite2@clean,True,True,selected_candidate,,0,0
anon,anon_013,tc_public_13,1043,1043,0,13,13,0,clean,clean,True,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,True,selected_candidate,,0,0
anon,anon_014,tc_public_14,2156,2156,0,16,16,0,outputs,outputs,True,r7b_r7win_fraig_high@outputs,r7b_r7win_fraig_high@outputs,True,True,selected_candidate,,0,0
anon,anon_015,tc_public_15,922,922,0,11,11,0,clean,clean,True,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,True,selected_candidate,,0,0
anon,anon_016,tc_public_16,45,45,0,6,6,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_017,tc_public_17,93,93,0,6,6,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_018,tc_public_18,495,495,0,12,12,0,inputs,inputs,True,dc2_fast@inputs,dc2_fast@inputs,True,True,selected_candidate,,0,0
anon,anon_019,tc_public_19,5268,5268,0,18,18,0,both,both,True,high_aig_three_round@both,high_aig_three_round@both,True,True,selected_candidate,,0,0
anon,anon_002,tc_public_2,19,19,0,4,4,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
anon,anon_020,tc_public_20,5523,5523,0,20,20,0,inputs,inputs,True,high_aig_three_round@inputs,high_aig_three_round@inputs,True,True,selected_candidate,,0,0
anon,anon_021,tc_public_21,5532,5532,0,20,20,0,both,both,True,high_aig_three_round@both,high_aig_three_round@both,True,True,selected_candidate,,0,0
anon,anon_022,tc_public_22,11001,11001,0,20,20,0,both,both,True,high_aig_three_round@both,high_aig_three_round@both,True,True,selected_candidate,,0,0
anon,anon_023,tc_public_23,1530,1530,0,16,16,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_024,tc_public_24,215,215,0,8,8,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_025,tc_public_25,26,26,0,4,4,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_026,tc_public_26,1046,1046,0,10,10,0,outputs,outputs,True,dc2_fast@outputs,dc2_fast@outputs,True,True,selected_candidate,,0,0
anon,anon_027,tc_public_27,376,376,0,7,7,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_028,tc_public_28,520,520,0,7,7,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_029,tc_public_29,109,109,0,7,7,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_003,tc_public_3,108,108,0,8,8,0,outputs,outputs,True,sop_fx@outputs,sop_fx@outputs,True,True,selected_candidate,,0,0
anon,anon_030,tc_public_30,4806,4806,0,21,21,0,both,both,True,high_aig_three_round@both,high_aig_three_round@both,True,True,selected_candidate,,0,0
anon,anon_004,tc_public_4,69,69,0,8,8,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
anon,anon_005,tc_public_5,65,65,0,2,2,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
anon,anon_006,tc_public_6,162,162,0,4,4,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
anon,anon_007,tc_public_7,252,252,0,3,3,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
anon,anon_008,tc_public_8,193,193,0,3,3,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
anon,anon_009,tc_public_9,224,224,0,5,5,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
random,case_hl7p0063rn,tc_public_1,103,103,0,10,10,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
random,case_j0eqkgp8lf,tc_public_10,161,161,0,4,4,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_dg8vd3xs1x,tc_public_11,328,328,0,7,7,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_5b37d8pj99,tc_public_12,1385,1385,0,13,13,0,clean,clean,True,rewrite2@clean,rewrite2@clean,True,True,selected_candidate,,0,0
random,case_j7dnjet36a,tc_public_13,1043,1043,0,13,13,0,clean,clean,True,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,True,selected_candidate,,0,0
random,case_q85mtt9qhs,tc_public_14,2156,2156,0,16,16,0,outputs,outputs,True,r7b_r7win_fraig_high@outputs,r7b_r7win_fraig_high@outputs,True,True,selected_candidate,,0,0
random,case_plzua5wike,tc_public_15,922,922,0,11,11,0,clean,clean,True,r7b_r7win_fraig_high@clean,r7b_r7win_fraig_high@clean,True,True,selected_candidate,,0,0
random,case_bxwfcxdndl,tc_public_16,45,45,0,6,6,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_gbqic6mlha,tc_public_17,93,93,0,6,6,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_unko4bybxf,tc_public_18,495,495,0,12,12,0,inputs,inputs,True,dc2_fast@inputs,dc2_fast@inputs,True,True,selected_candidate,,0,0
random,case_dqly6ciz1x,tc_public_19,5268,5268,0,18,18,0,both,both,True,high_aig_three_round@both,high_aig_three_round@both,True,True,selected_candidate,,0,0
random,case_9n3t1jxedl,tc_public_2,19,19,0,4,4,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
random,case_d0sp3evjcu,tc_public_20,5523,5523,0,20,20,0,inputs,inputs,True,high_aig_three_round@inputs,high_aig_three_round@inputs,True,True,selected_candidate,,0,0
random,case_tofysbdmu2,tc_public_21,5532,5532,0,20,20,0,both,both,True,high_aig_three_round@both,high_aig_three_round@both,True,True,selected_candidate,,0,0
random,case_ofbkzi81pj,tc_public_22,11001,11001,0,20,20,0,both,both,True,high_aig_three_round@both,high_aig_three_round@both,True,True,selected_candidate,,0,0
random,case_y7gkf9k8m4,tc_public_23,1530,1530,0,16,16,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_qo1zilrin4,tc_public_24,215,215,0,8,8,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_knyww3m7ta,tc_public_25,26,26,0,4,4,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_d4glr802e7,tc_public_26,1046,1046,0,10,10,0,outputs,outputs,True,dc2_fast@outputs,dc2_fast@outputs,True,True,selected_candidate,,0,0
random,case_pyg3694elp,tc_public_27,376,376,0,7,7,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_o1v95jw2yn,tc_public_28,520,520,0,7,7,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_udxahl2zm5,tc_public_29,109,109,0,7,7,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_tylrj06i68,tc_public_3,108,108,0,8,8,0,outputs,outputs,True,sop_fx@outputs,sop_fx@outputs,True,True,selected_candidate,,0,0
random,case_8tz3kmgxq8,tc_public_30,4806,4806,0,21,21,0,both,both,True,high_aig_three_round@both,high_aig_three_round@both,True,True,selected_candidate,,0,0
random,case_i6qsqduet7,tc_public_4,69,69,0,8,8,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
random,case_u9m9kzukyx,tc_public_5,65,65,0,2,2,0,clean,clean,True,dc2_fast@clean,dc2_fast@clean,True,True,selected_candidate,,0,0
random,case_scefuc0ca6,tc_public_6,162,162,0,4,4,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
random,case_3ycwlkaj3j,tc_public_7,252,252,0,3,3,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
random,case_095oues3rg,tc_public_8,193,193,0,3,3,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
random,case_pu0lm11810,tc_public_9,224,224,0,5,5,0,clean,clean,True,sop_fx@clean,sop_fx@clean,True,True,selected_candidate,,0,0
